ID,審査員得点,参加者得点,類似度係数,化合物得点
GF01,30,-3,1.288378378,34.78621622
GF02,20,2,1.275126172,28.05277578
GF03,28,-2,1.288170662,33.49243721
GF04,28,2,1.289347129,38.68041387
GF05,25,-2,1.289347129,29.65498397
GF06,28,-1,1.267678812,34.22732794
GF07,36,1,1.291452626,47.78374715
GF08,31,4,1.261631944,44.15711806
GF09,12,0,1.266621605,15.19945926
GF10,26,4,1.251111111,37.53333333
JZ01,24,6,1.23255814,36.97674419
JZ02,-4,-7,1.279132791,-14.0704607
JZ03,27,-3,1.17037037,28.08888889
JZ04,36,-7,1.150842697,33.3744382
JZ05,16,-2,1.217965053,17.05151074
JZ06,33,-2,1.225082147,37.97754655
JZ07,6,-3,1.159676918,3.479030755
JZ08,33,7,1.224801061,48.99204244
JZ09,36,3,1.235812816,48.19669984
JZ10,11,-5,0.896458333,5.37875
KH01,18,-7,0.810396894,8.914365833
KH02,27,-9,0.685714286,12.34285714
KH03,-5,-18,0.882783883,-20.3040293
KH04,0,-20,0.677631579,-13.55263158
KH05,24,-6,0.583333333,10.5
KH06,0,-12,0.8875,-10.65
KH07,27,-10,0.562469734,9.561985472
KH08,17,-12,0.621428571,3.107142857
KH09,4,-7,0.647887324,-1.943661972
KH10,6,-8,0.684074941,-1.368149883
LB01,8,-8,1.313865308,0
LB02,2,-13,1.274038462,-14.01442308
LB03,20,-10,1.242097264,12.42097264
LB04,11,1,1.252536232,15.03043478
LB05,11,-9,1.257659574,2.515319149
LB06,6,-4,1.267529666,2.535059331
LB07,-3,-7,1.303603302,-13.03603302
LB08,-6,-11,1.276457272,-21.69977363
LB09,-6,-5,1.227272727,-13.5
LB10,-17,-8,1.3003663,-32.50915751
MR01,14,-8,0.726366843,4.358201058
MR02,27,-5,0.581738437,12.79824561
MR03,0,-12,0.610294118,-7.323529412
MR04,13,-7,0.602739726,3.616438356
MR05,8,-3,0.5,2.5
MR06,18,-3,0.5,7.5
MR07,11,-5,0.5,3
MR08,22,-10,0.553333333,6.64
MR09,17,-7,0.879535865,8.79535865
MR10,18,-5,0.567164179,7.373134328
PC01,28,1,1.263116057,36.63036566
PC02,5,-5,1.226084538,0
PC03,-11,-5,1.308045977,-20.92873563
PC04,-9,-5,1.320567986,-18.48795181
PC05,22,-8,1.275369979,17.8551797
PC06,28,-4,1.298036599,31.15287838
PC07,19,-9,1.270728008,12.70728008
PC08,29,-8,1.259047994,26.44000787
PC09,13,0,1.316829238,17.1187801
PC10,13,-6,1.24443038,8.711012658
TE01,14,-1,1.154916159,15.01391006
TE02,14,-2,1.223292765,14.67951318
TE03,17,2,1.245288848,23.66048811
TE04,14,10,1.219607843,29.27058824
TE05,27,4,1.250951199,38.77948718
TE06,14,1,1.218233083,18.27349624
TE07,20,3,1.229323308,28.27443609
TE08,15,8,1.227513228,28.23280423
TE09,-4,5,1.288441692,1.288441692
TE10,18,7,1.241953082,31.04882706
UD01,3,-7,1.245784884,-4.983139535
UD02,7,0,1.301946272,9.113623904
UD03,3,-5,1.230071652,-2.460143305
UD04,-17,-4,1.322461082,-27.77168273
UD05,8,0,1.213448276,9.707586207
UD06,-5,-7,1.333525745,-16.00230894
UD07,4,-3,1.217142857,1.217142857
UD08,9,-7,1.341704718,2.683409437
UD09,15,-3,1.28026534,15.36318408
UD10,-8,-11,1.309665145,-24.88363775
VN01,-43,-20,1.345195954,-84.74734513
VN02,-43,-19,1.340132548,-83.08821797
VN03,-49,-32,invalid,0
VN04,-45,-18,1.349166427,-84.99748491
VN05,-47,-19,1.345195954,-88.782933
VN06,-47,-19,1.342765685,-88.62253521
VN07,-47,-18,1.338961039,-87.03246753
VN08,-42,-19,1.349166427,-82.29915206
VN09,-52,-33,invalid,0
VN10,-40,-19,1.345195954,-79.36656131
WY01,-16,-15,0.845238095,-26.20238095
WY02,17,-12,0.803099885,4.015499426
WY03,4,-13,0.648648649,-5.837837838
WY04,-17,-11,0.659693319,-18.47141292
WY05,2,-12,0.659693319,-6.596933187
WY06,-21,-10,0.794861447,-24.64070487
WY07,-5,-16,0.6125,-12.8625
WY08,14,-15,0.607142857,-0.607142857
WY09,8,-12,0.603448276,-2.413793103
WY10,-1,-15,0.5859375,-9.375
